"TypePOV";"GosNumberPOV";"NamePOV";"DesignationSiPOV";"DeviceMarkPOV";"DeviceCountPOV";"SerialNumPOV";"SerialNumEndPOV";"CalibrationDatePOV";"NextcheckDatePOV";"MarkCipherPOV";"DocPOV";"DeprcatedPOV";"NumCertfPOV";"NumSvidPOV";"PrimPOV";"ScopePOV";"StandartPOV";"GpsPOV";"SiPOV";"SoPOV"
"1";"68003-17";"";"";"TAF16-41XY8N30FR";"1";"NC03E9141D7";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-024-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68003-17";"";"";"TAF16-41XY8N30FR";"1";"NC03EA141D7";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-024-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68003-17";"";"";"TAF16-41XY8N30FR";"1";"NC03EB141D7";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-024-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68003-17";"";"";"TAF16-41XY8N30FR";"1";"NC03EC141D7";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-024-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68003-17";"";"";"TC62-CSEB3XCB10";"1";"NC0425142EE";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-024-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"57947-14";"";"";"TMT182-UAAAA";"1";"NC051C04125";"";"2019-01-14";"2024-01-14";"Нет данных";"МП 57947-14";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"57947-14";"";"";"TMT182-UAAAA";"1";"NC051D04125";"";"2019-01-14";"2024-01-14";"Нет данных";"МП 57947-14";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"57947-14";"";"";"TMT182-UAAAA";"1";"NC051E04125";"";"2019-01-14";"2024-01-14";"Нет данных";"МП 57947-14";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"57947-14";"";"";"TMT182-UAAAA";"1";"NC051F04125";"";"2019-01-14";"2024-01-14";"Нет данных";"МП 57947-14";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"57947-14";"";"";"TMT182-UAAAA";"1";"NC052004125";"";"2019-01-14";"2024-01-14";"Нет данных";"МП 57947-14";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68002-17";"";"";"TR24-AF2AXKC000";"1";"NC048614150";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-023-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68002-17";"";"";"TR24-AF2AXKC000";"1";"NC048714150";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-023-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68002-17";"";"";"TR24-AF2AXKC000";"1";"NC048814150";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-023-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68002-17";"";"";"TR24-AF2AXKC000";"1";"NC048914150";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-023-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"68002-17";"";"";"TR24-AF2AXKC000";"1";"NC048A14150";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 207.1-023-2017";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"55540-13";"";"";"TM411-2PPC5/101";"1";"NC079914457";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 55540-13";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
"1";"55540-13";"";"";"TM411-JFU3/1C3";"1";"NC079514457";"";"2019-01-14";"2021-01-14";"Нет данных";"МП 55540-13";"Пригодно";"паспорт";"";"";"Осуществление производственного контроля за соблюдением установленных законодательством Российской Федерации требований промышленной безопасности к эксплуатации опасного производственного объекта";"3.1.ZZM.0021.2012| 3.1.ZZM.0022.2012| 3.1.ZZM.0023.2012| 3.1.ZZM.0327.2015";"";"";""
